1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,Label
29,3.821209,1.567568,13.547628,7.242389,0.019883,0.012195,0.067241,0.049107,3406.866211,1363.990601,6796.552246,2719.626709,1021.359192,940.742371,102.607803,60.178288,0.538928,0.038365,1
25,3.052969,1.641484,22.334589,15.734018,0.023027,0.010731,0.077,0.045884,3324.158203,1452.020752,6610.000488,2885.445312,1199.36438,821.123535,84.687698,46.896881,0.446286,0.066858,1
82,1.601274,1.508805,5.860583,3.301121,0.025948,0.006956,0.082317,0.044845,3771.984131,855.766479,7488.112305,1697.350586,1544.147461,807.137268,92.694611,41.182648,0.591414,0.14161,1
25,4.819368,2.879584,41.382828,24.448074,0.014387,0.007596,0.069875,0.046916,3301.686035,1441.997681,6606.000977,2883.914795,599.555176,535.151978,96.595497,61.861046,0.246416,0.093782,1
29,2.768753,1.797319,13.338054,9.980667,0.011506,0.007269,0.100647,0.067401,3266.021484,1432.114868,6688.794922,2678.393799,446.452423,411.464722,95.036949,48.364391,0.314103,0.193568,1
25,3.679925,2.145892,27.195999,21.484812,0.012956,0.007638,0.068125,0.036726,3324.525391,1451.852661,6565.000977,2866.23877,637.621582,591.398682,109.964935,60.042408,0.270214,0.136905,1
113,2.782705,1.334851,11.439361,6.420032,0.016132,0.004972,0.100719,0.045669,3836.261719,736.44165,7486.948242,1439.655518,829.102234,709.771484,124.97644,43.18655,0.399679,0.123641,1
161,1.40382,0.785495,6.740815,4.428925,0.016213,0.004976,0.125213,0.057308,3883.300781,621.249146,7499.845215,1207.94812,832.503845,654.328735,131.131851,41.803993,0.420022,0.300965,1
81,0.984162,0.964449,6.85803,9.85076,0.01638,0.005785,0.110147,0.053809,3795.925049,865.631287,7359.878418,1681.221191,948.118774,937.541321,122.911346,45.429214,0.657833,0.133105,1
116,1.262012,1.559164,6.325819,9.576903,0.015549,0.004378,0.122683,0.046648,3853.648438,728.946777,7461.855469,1413.816772,728.807373,516.717346,124.33065,46.916607,0.678812,0.140427,1
26,3.348305,2.490859,25.95047,18.883072,0.012698,0.006275,0.122115,0.058199,3384.607178,1443.361572,6509.614746,2776.845703,541.736389,533.083252,116.905266,64.80365,0.266648,0.14227,1
25,2.734797,1.554075,12.322391,11.380774,0.012863,0.006534,0.10875,0.055028,3343.050781,1459.50415,6493.000488,2834.502197,482.520508,391.43338,97.256348,57.748589,0.345087,0.17849,1
27,3.645489,2.445642,16.643291,10.802203,0.015009,0.008107,0.094676,0.059578,3402.025391,1419.05188,6610.186035,2757.705566,900.380554,893.691284,110.954544,57.335968,0.331181,0.170403,1
114,1.127116,0.897136,5.002442,5.690519,0.016223,0.005652,0.110855,0.058282,3842.582764,733.737061,7486.187988,1432.905762,904.945618,866.644043,127.395836,48.914616,0.380865,0.366905,1
25,4.76361,2.307512,10.141559,9.461326,0.008935,0.004971,0.0775,0.044406,3294.693848,1439.089233,6611.000977,2885.746582,247.577713,229.796417,86.230286,47.151947,0.318373,0.032062,1
25,2.72012,1.300196,13.984651,14.711412,0.006587,0.005659,0.08075,0.038928,3275.492432,1432.822021,6529.999512,2850.649414,420.784302,644.641174,111.784813,58.063934,0.291844,0.05437,1
25,7.409271,3.665332,17.620098,8.709596,0.012501,0.007155,0.086125,0.044779,3352.864502,1463.363892,6468.999512,2823.313232,1323.932983,1230.901245,146.560577,63.989662,0.299371,0.034475,1
37,1.347078,1.764505,9.313793,13.28171,0.010304,0.004934,0.090541,0.04109,3549.010986,1235.957642,6901.351562,2403.094727,621.844421,609.052795,130.835068,54.926929,0.574563,0.136943,1
30,3.781361,2.234093,12.463446,6.239329,0.005663,0.004603,0.126667,0.081193,3427.363037,1344.751343,6668.333496,2616.055908,261.982086,689.719971,105.817375,55.456676,0.318818,0.053882,1
101,1.159078,1.13872,6.009381,9.442282,0.018699,0.007644,0.101516,0.049727,3823.747314,777.394348,7425.496094,1511.165039,2045.512695,2004.396729,132.856476,44.499084,0.721467,0.086667,1
132,5.633781,1.981045,17.559553,5.243663,0.011665,0.008011,0.121425,0.056863,3829.298828,715.739929,7473.482422,1326.364136,673.399841,1040.189087,129.22937,48.224602,0.353245,0.055915,1
25,5.077452,2.572168,15.846204,8.726622,0.002406,0.002699,0.160625,0.082663,3266.50708,1427.3396,6320.999023,2761.577393,37.536804,124.735687,111.392868,63.538467,0.39024,0.068525,1
132,1.842484,2.997711,5.447408,7.054195,0.010195,0.0093,0.114228,0.090901,3772.390869,698.766479,7488.259277,1340.70752,629.294495,1014.914917,121.60601,43.380238,0.602686,0.166302,1
32,0.182447,0.100991,1.332545,0.671309,0.010307,0.008867,0.086914,0.04678,3462.236084,1310.316772,6755.471191,2554.959961,635.839172,951.90387,119.353874,52.34655,0.795117,0.051931,1
223,2.024591,1.454725,6.592492,3.78029,0.00829,0.008476,0.142489,0.061689,3777.803467,562.119263,7473.094238,1020.514526,431.677124,860.560913,138.503387,36.998669,0.616643,0.10182,1
107,0.777125,0.37453,2.82861,1.047345,0.012008,0.010669,0.117815,0.065004,3494.44751,1024.627563,7405.138672,1464.332642,907.943481,1338.752563,144.578644,44.737148,0.737363,0.082128,1
68,0.436291,0.386363,1.764901,1.004526,0.011759,0.008466,0.139292,0.068398,3743.759766,936.834473,7172.795898,1802.029663,666.862976,944.328491,137.915421,47.899605,0.791816,0.068762,1
25,0.247458,0.492159,1.214568,2.54893,0.011299,0.00814,0.108875,0.066663,3345.738281,1460.607788,6475.999512,2828.448975,570.144714,772.132019,102.769058,50.880947,0.736903,0.062534,1
123,0.956489,2.069714,3.90122,4.371284,0.009112,0.008203,0.145046,0.109018,3745.259766,731.93103,7395.730957,1380.274048,472.030457,808.681702,125.999359,42.870193,0.859254,0.056598,1
56,2.277475,1.166138,11.849564,7.755045,0.007103,0.007391,0.130134,0.113808,3525.361328,1036.158569,7103.572754,1991.933594,319.679657,626.052002,113.671494,48.447052,0.396954,0.092085,1
95,3.645478,1.846046,16.473642,7.897222,0.015226,0.006201,0.122961,0.055358,3830.213867,803.460449,7393.682617,1556.214355,1023.941467,891.102295,120.450661,39.313564,0.363259,0.082315,1
43,3.036397,1.778904,13.69058,9.885736,0.015155,0.006919,0.094913,0.054699,3618.721191,1159.390137,7061.046387,2263.42749,1071.099854,844.927124,119.386345,46.937397,0.300859,0.076133,1
95,3.713778,1.732465,14.056569,6.626099,0.017002,0.006424,0.097599,0.043294,3820.443604,801.791077,7459.73877,1567.750488,1078.052979,874.533386,109.510635,31.481121,0.367148,0.071186,1
182,4.190456,2.015704,11.355901,3.893781,0.015544,0.006992,0.117806,0.048909,3902.971191,585.976685,7557.556641,1141.910889,1065.055542,1021.26416,126.576385,36.688644,0.3612,0.072383,1
102,4.414653,1.886353,15.110628,5.136901,0.015292,0.00726,0.127328,0.060256,3827.276123,774.495239,7397.549316,1500.864868,691.437134,557.288452,125.167114,47.610283,0.314554,0.07583,1
26,2.045548,1.165915,8.461758,3.854306,0.017103,0.008628,0.094832,0.056366,3358.462891,1432.780884,6571.154297,2803.472412,765.686157,515.609802,93.88517,60.55172,0.350377,0.139152,1
32,1.041122,0.537188,3.8762,1.998251,0.016173,0.008958,0.078711,0.048459,3450.163818,1306.194458,6843.751465,2588.201416,688.698853,570.234863,84.831467,47.962555,0.448876,0.157865,1
37,2.632437,1.428715,10.605258,4.800924,0.017769,0.008198,0.099409,0.054245,3539.786865,1233.661621,6932.433105,2415.259521,883.784973,770.547485,105.074348,59.844154,0.34286,0.182582,1
46,1.412158,1.8238,8.050138,11.568233,0.019361,0.007707,0.113791,0.057993,3627.722412,1120.709717,7064.675293,2183.094238,1010.516357,660.843628,116.208069,61.455257,0.60273,0.111261,1
25,0.746167,0.950684,3.949314,6.15342,0.018936,0.009243,0.062625,0.049929,3310.055664,1447.269165,6609.000488,2885.596924,984.783203,821.077759,75.868828,41.541733,0.765802,0.011083,1
119,4.409392,1.86114,11.432533,4.063501,0.013902,0.008406,0.100263,0.075137,3654.282227,875.307617,7504.829102,1411.474243,618.70636,652.884033,119.276611,52.634178,0.405429,0.067717,1
293,4.114717,1.907057,12.224495,6.304958,0.014039,0.006799,0.111764,0.05022,3906.15918,465.054932,7618.857422,906.564575,750.005432,959.739685,144.320831,47.46843,0.48407,0.063993,1
25,3.844788,2.336775,12.486286,7.489525,0.022026,0.012402,0.06075,0.0623,3319.172363,1449.889282,6590.000977,2879.826416,1544.744385,1111.264038,73.447258,45.139622,0.377483,0.08047,1
42,2.632351,2.437778,8.168202,8.235348,0.017617,0.009246,0.125446,0.075419,3612.057129,1172.397217,6933.333008,2255.143799,1120.193604,1040.237793,112.364258,63.574116,0.493036,0.073627,1
25,1.719644,0.899383,6.821364,6.968654,0.020264,0.010406,0.096375,0.054099,3352.475342,1463.437012,6492.998535,2836.459961,1391.3479,1065.281006,119.43219,64.714783,0.440889,0.092648,1
38,2.091193,1.125404,16.891087,19.100462,0.022751,0.010993,0.100164,0.061447,3573.654541,1226.291504,6898.684082,2371.209229,2145.706787,1897.20105,135.263992,62.868404,0.490714,0.102647,1
25,1.490042,0.83749,14.603621,10.357061,0.022132,0.011753,0.10325,0.074417,3349.033936,1462.432861,6479,2833.16333,2020.669922,1850.779297,100.16201,53.629105,0.539701,0.084873,1
34,0.21764,0.104762,2.408906,1.142277,0.020941,0.010379,0.100827,0.071228,3523.623291,1286.995605,6851.47168,2504.58374,1495.556885,1217.101685,121.793282,60.324032,0.807154,0.034952,1
35,4.394691,2.47145,8.588728,3.521451,0.016884,0.009052,0.138393,0.095643,3536.996582,1271.203613,6773.572266,2448.596191,868.299988,909.401855,110.344986,60.350479,0.261786,0.050637,1
45,0.108652,0.208386,0.796127,0.672553,0.021521,0.012082,0.110069,0.052039,3639.499512,1137.488647,7011.111328,2194.422363,1767.508179,1807.444946,137.307587,59.983032,0.891526,0.008614,1
57,0.316301,0.788919,3.420213,3.731633,0.019634,0.008546,0.108936,0.055242,3704.454834,1018.459412,7220.177734,1987.435669,1457.292847,1498.22522,123.27224,60.791542,0.877406,0.024736,1
80,2.160349,2.094882,10.712472,13.910461,0.014135,0.007692,0.119648,0.050053,3737.092773,887.83783,7345.625,1691.036133,558.389282,540.68634,106.235954,49.013397,0.562158,0.127029,1
85,1.939553,1.301326,7.133958,4.176738,0.014425,0.008031,0.115294,0.052733,3794.366699,844.294617,7325.880859,1633.800049,938.446716,952.117004,140.268402,43.912094,0.59512,0.105756,1
71,0.995518,0.50895,4.005095,1.365878,0.017049,0.013035,0.10066,0.084895,3718.793213,914.106079,7349.297852,1806.014526,1822.204956,2253.760742,106.097351,40.366596,0.458997,0.294672,1
92,6.989427,3.579248,16.865772,5.863254,0.017419,0.01082,0.0857,0.039506,3795.136475,811.033508,7466.577637,1594.728394,1307.779541,1394.458008,118.458328,38.021931,0.320479,0.069925,1
28,2.654109,1.467586,6.136594,2.982596,0.016787,0.009166,0.123772,0.081176,3431.805908,1401.135986,6599.109863,2698.320801,1063.563599,892.919983,106.387604,49.789307,0.433891,0.081213,1
138,1.126316,1.848364,6.059628,7.639893,0.014575,0.009699,0.109171,0.043977,3854.55127,668.979248,7519.744141,1303.89563,969.026428,1186.353271,116.291,36.501579,0.751801,0.110897,1
25,3.191096,3.540463,21.317389,22.807568,0.014738,0.008956,0.12275,0.075237,3359.731445,1466.576294,6440.000488,2814.248535,729.598999,731.230652,90.805634,46.595009,0.524604,0.06954,1
